game_id,game_date,goal_no,time_mm_ss,scorer_no,scorer_name,assist1_no,assist1_name,assist2_no,assist2_name,goal_type,hct_score_after,opp_score_after,hct_home
1,2025-11-15,1,39:54,8,Christler Lukas,,,,,+1,1,2,0
2,2025-11-24,1,26:25,8,Christler Lukas,85,Gasser Raphael,,,EQ,1,1,0
2,2025-11-24,2,33:22,8,Christler Lukas,89,Mariacher Marlon,85,Gasser Raphael,EQ,2,2,0
2,2025-11-24,3,41:32,85,Gasser Raphael,8,Christler Lukas,,,EQ,3,2,0
2,2025-11-24,4,43:54,89,Mariacher Marlon,,,,EN,4,2,0
2,2025-11-24,5,44:22,32,Wessiak Fabian,75,Pipal Thomas,,,EN,5,2,0
3,2025-12-15,1,19:42,9,Wöber Matteo,55,Praxmarer Moritz,85,Gasser Raphael,EQ,1,1,0
3,2025-12-15,2,22:09,30,Schmidbauer Hannes,85,Gasser Raphael,32,Wessiak Fabian,+1,2,2,0
3,2025-12-15,3,36:43,85,Gasser Raphael,55,Praxmarer Moritz,,,EQ,3,3,0
4,2025-12-18,1,03:55,8,Christler Lukas,,,,EQ,1,0,1
4,2025-12-18,2,16:17,9,Wöber Matteo,85,Gasser Raphael,69,Praxmarer Felix,EQ,2,1,1
4,2025-12-18,3,32:20,32,Wessiak Fabian,24,Felderer Martin,69,Praxmarer Felix,EQ,3,2,1
5,2025-12-29,1,10:28,8,Christler Lukas,85,Gasser Raphael,32,Wessiak Fabian,-1,1,1,1
6,2025-12-30,1,01:55,8,Christler Lukas,75,Pipal Thomas,9,Wöber Matteo,+1,1,1,1
6,2025-12-30,2,26:30,9,Wöber Matteo,32,Wessiak Fabian,,,EQ,2,5,1
6,2025-12-30,3,27:22,15,Föger Mario,8,Christler Lukas,,,EQ,3,5,1
6,2025-12-30,4,29:57,75,Pipal Thomas,,,+1,4,5,1
6,2025-12-30,5,38:21,69,Praxmarer Felix,85,Gasser Raphael,,,EQ,5,8,1
6,2025-12-30,6,39:36,8,Christler Lukas,9,Wöber Matteo,,,EQ,6,8,1
6,2025-12-30,7,39:49,32,Wessiak Fabian,23,Krippels Peter,,,EQ,7,9,1
7,2026-01-08,1,01:12,8,Christler Lukas,23,Krippels Peter,85,Gasser Raphael,EQ,1,0,0
7,2026-01-08,2,16:53,9,Wöber Matteo,23,Krippels Peter,85,Gasser Raphael,EQ,2,0,0
7,2026-01-08,3,20:27,15,Föger Mario,23,Krippels Peter,67,Zehenter Julian,EQ,3,0,0
7,2026-01-08,4,23:32,17,Hörtnagl Paul,89,Mariacher Marlon,48,Nagl Lukas,EQ,4,0,0
7,2026-01-08,5,23:38,22,Mayr Stephan,89,Mariacher Marlon,,,EQ,5,0,0
7,2026-01-08,6,25:53,23,Krippels Peter,75,Pipal Thomas,8,Christler Lukas,EQ,6,0,0
7,2026-01-08,7,37:56,89,Mariacher Marlon,75,Pipal Thomas,,,EQ,7,1,0
7,2026-01-08,8,42:03,32,Wessiak Fabian,23,Krippels Peter,,,+1,8,1,0
7,2026-01-08,9,44:50,44,Krautgasser Michael,55,Praxmarer Moritz,69,Praxmarer Felix,EQ,9,1,0
8,2026-01-20,1,07:06,8,Christler Lukas,75,Pipal Thomas,,,EQ,1,1,1
8,2026-01-20,2,16:48,15,Föger Mario,75,Pipal Thomas,23,Krippels Peter,EQ,2,2,1
8,2026-01-20,3,36:27,22,Mayr Stephan,85,Gasser Raphael,55,Praxmarer Moritz,EQ,3,4,1
9,2026-01-25,1,08:11,8,Christler Lukas,23,Krippels Peter,32,Wessiak Fabian,EQ,1,1,0
9,2026-01-25,2,10:52,9,Wöber Matteo,32,Wessiak Fabian,8,Christler Lukas,EQ,2,1,0
9,2026-01-25,3,18:53,22,Mayr Stephan,8,Christler Lukas,,,-1,3,2,0
9,2026-01-25,4,26:08,23,Krippels Peter,55,Praxmarer Moritz,,,EQ,4,2,0
9,2026-01-25,5,34:26,29,Gufler Christopher,23,Krippels Peter,,,EQ,5,2,0
9,2026-01-25,6,43:23,30,Schmidbauer Hannes,75,Pipal Thomas,,,EQ,6,2,0
10,2026-01-27,1,00:16,8,Christler Lukas,98,Gufler Christopher,15,Föger Mario,EQ,1,0,1
10,2026-01-27,2,01:14,67,Zehenter Julian,15,Föger Mario,48,Nagl Lukas,EQ,2,0,1
10,2026-01-27,3,06:04,22,Mayr Stephan,89,Mariacher Marlon,,,EQ,3,0,1
10,2026-01-27,4,07:07,23,Krippels Peter,23,Krippels Peter,75,Pipal Thomas,EQ,4,0,1
10,2026-01-27,5,21:16,29,Christler Nikolaus,8,Christler Lukas,85,Gasser Raphael,EQ,5,0,1
10,2026-01-27,6,30:32,8,Christler Lukas,23,Krippels Peter,,,EQ,6,1,1
10,2026-01-27,7,31:29,85,Gasser Raphael,48,Nagl Lukas,64,Skillen Jonathan,EQ,7,1,1
10,2026-01-27,8,37:26,55,Praxmarer Moritz,55,Praxmarer Moritz,85,Gasser Raphael,EQ,8,3,1
11,2026-02-05,1,24:37,8,Christler Lukas,8,Christler Lukas,89,Mariacher Marlon,EQ,1,0,1
11,2026-02-05,2,29:16,9,Wöber Matteo,8,Christler Lukas,,,+1,2,0,1
11,2026-02-05,3,33:01,15,Föger Mario,8,Christler Lukas,,,+1,3,1,1
12,2026-02-10,1,02:00,8,Christler Lukas,85,Gasser Raphael,,,EQ,1,0,0
12,2026-02-10,2,12:41,9,Wöber Matteo,75,Pipal Thomas,,,EQ,2,1,0
12,2026-02-10,3,23:32,22,Mayr Stephan,98,Gufler Christopher,23,Krippels Peter,EQ,3,2,0
13,2026-02-21,1,11:00,8,Christler Lukas,69,Praxmarer Felix,85,Gasser Raphael,+1,1,1,0
13,2026-02-21,2,18:18,22,Mayr Stephan,89,Mariacher Marlon,23,Krippels Peter,+1,2,1,0
14,2026-02-25,1,00:10,8,Christler Lukas,98,Gufler Christopher,,,EQ,1,0,1
14,2026-02-25,2,04:56,9,Wöber Matteo,9,Wöber Matteo,23,Krippels Peter,EQ,2,0,1
14,2026-02-25,3,08:01,74,Eichler Robert,74,Eichler Robert,8,Christler Lukas,EQ,3,0,1
14,2026-02-25,4,11:05,98,Gufler Christopher,98,Gufler Christopher,,,+1,4,0,1
14,2026-02-25,5,12:45,23,Krippels Peter,23,Krippels Peter,8,Christler Lukas,EQ,5,0,1
14,2026-02-25,6,17:04,9,Wöber Matteo,9,Wöber Matteo,8,Christler Lukas,EQ,6,0,1
