game_id,date,home_team,away_team,hct_home,opponent,hct_goals,opp_goals,result,phase,venue,game_number
1,2025-11-15,STR,HCT,0,STR,1,2,L,Early,Eishalle Kundl,11152025-12811179
2,2025-11-24,TIK,HCT,0,TIK,5,2,W,Early,Eishalle Götzens,11242025-121511171
3,2025-12-15,ECA,HCT,0,ECA,3,4,L,Early,Eisplatz Zell,12152025-12311162
4,2025-12-18,HCT,ECA,1,ECA,3,2,W,Early,Eislaufplatz Mils,12182025-12113167
5,2025-12-29,HCT,STR,1,STR,1,4,L,Early,ICEART Arena Telfs,12292025-12118194
6,2025-12-30,HCT,EHV,1,EHV,7,9,L,Early,Eislaufplatz Mils,12302025-121110202
7,2026-01-08,ECNII,HCT,0,ECNII,9,1,W,Mid,TIWAG Arena,01082026-122911183
8,2026-01-20,HCT,ECS,1,ECS,3,4,L,Mid,Eislaufplatz Mils,01202026-12116165
9,2026-01-25,EHV,HCT,0,EHV,6,2,W,Mid,Eishalle Götzens,01252026-121011190
10,2026-01-27,HCT,ECNII,1,ECNII,8,3,W,Mid,Eislaufplatz Mils,01272026-121129188
11,2026-02-05,HCT,TIK,1,TIK,3,1,W,Mid,Eislaufplatz Mils,02052026-121115213
12,2026-02-10,ECS,HCT,0,ECS,3,2,W,Late,ICEART Arena Telfs,02102026-12611163
13,2026-02-21,STR,HCT,0,STR,2,1,W,Late,Eishalle Kundl,02212026-12811217
14,2026-02-25,HCT,STR,1,STR,6,0,W,Late,TIWAG Arena,02252026-12118221
15,2026-03-07,ECS,HCT,0,ECS,6,4,W,Late,TIWAG Arena,03072026-12611224
