player_no,player_name,total_penalties,total_pim,hook,rough,trip,slash,hold,host,cross,board,delay,abuse,unsp,other
69,Praxmarer Felix,6,14,2,1,0,0,0,1,1,1,0,1,0,0
55,Praxmarer Moritz,4,10,0,2,0,1,0,0,0,0,0,0,0,1
89,Mariacher Marlon,4,8,1,1,0,1,0,0,0,0,0,0,0,1
98,Gufler Christopher,3,16,0,1,0,0,0,0,0,0,0,0,1,1
75,Pipal Thomas,3,8,0,0,0,0,0,2,0,0,0,1,0,0
23,Krippels Peter,3,8,1,0,0,1,0,0,1,0,0,0,0,0
85,Gasser Raphael,3,6,0,0,0,1,0,0,0,0,0,0,0,2
15,Föger Mario,3,6,0,1,1,1,0,0,0,0,0,0,0,0
8,Christler Lukas,2,4,1,0,0,0,0,0,0,0,0,0,0,1
9,Wöber Matteo,2,4,1,0,1,0,0,0,0,0,0,0,0,0
22,Mayr Stephan,2,4,0,0,0,0,0,0,0,0,0,0,0,2
64,Skillen Jonathan,1,2,1,0,0,0,0,0,0,0,0,0,0,0
67,Zehenter Julian,1,2,0,0,0,0,0,0,1,0,0,0,0,0
65,Hörtnagl Paul,2,6,0,0,0,0,0,0,0,1,0,0,1,0
30,Schmidbauer Hannes,1,2,0,0,0,0,0,0,1,0,0,0,0,0
