player_no,player_name,position,games_played,goals,assists,points,pts_per_game,pp_goals,en_goals,eq_goals,notes
8,Christler Lukas,F,15,13,4,17,1.13,1,0,12,Captain (C)
9,Wöber Matteo,F,14,7,3,10,0.71,1,0,6,
15,Föger Mario,F,11,5,2,7,0.64,1,0,4,Alternate (A)
85,Gasser Raphael,F,14,6,11,17,1.21,0,0,6,Alternate (A) — highest assist total
89,Mariacher Marlon,F,12,6,6,12,1.00,0,2,4,U18
23,Krippels Peter,F,13,5,6,11,0.85,0,0,5,
75,Pipal Thomas,D,13,5,4,9,0.69,1,0,4,U18
22,Mayr Stephan,D,13,4,2,6,0.46,0,0,4,
32,Wessiak Fabian,F,10,3,5,8,0.80,0,0,3,Alternate (A)
98,Gufler Christopher,F,11,3,3,6,0.55,0,0,3,
55,Praxmarer Moritz,D,12,2,3,5,0.42,0,0,2,U18
69,Praxmarer Felix,D,12,0,5,5,0.42,0,0,0,U18
48,Nagl Lukas,F,10,1,3,4,0.40,0,0,1,U18
67,Zehenter Julian,F,9,1,3,4,0.44,0,0,1,
64,Skillen Jonathan,D,10,0,3,3,0.30,0,0,0,
29,Christler Nikolaus,D,3,1,0,1,0.33,0,0,1,
24,Felderer Martin,F,3,1,0,1,0.33,0,0,1,U18
44,Krautgasser Michael,D,5,0,1,1,0.20,0,0,0,
74,Eichler Robert,F,4,0,0,0,0.00,0,0,0,
65,Hörtnagl Paul,D,4,0,0,0,0.00,0,0,0,
17,Hörtnagl Paul,D,1,1,0,1,1.00,0,0,1,Listed as #17 in 08Jan game
30,Schmidbauer Hannes,G,12,0,0,0,0.00,0,0,0,Goalkeeper
25,Kogler Florian,G,6,0,0,0,0.00,0,0,0,Goalkeeper
